Team,ATS Record,Cover %,MOV,ATS +/-
Pittsburgh,1-0-0,100.0%,3.0,+10.0
Buffalo,1-0-0,100.0%,21.0,+19.0
Washington,1-0-0,100.0%,6.0,+3.0
Miami,1-0-0,100.0%,13.0,+10.0
NY Giants,1-0-0,100.0%,1.0,+6.5
Baltimore,1-0-0,100.0%,15.0,+8.5
Minnesota,1-0-0,100.0%,16.0,+14.0
Tampa Bay,1-0-0,100.0%,16.0,+13.5
Chicago,1-0-0,100.0%,9.0,+15.5
Detroit,1-0-0,100.0%,-3.0,+3.0
Cleveland,1-0-0,100.0%,2.0,+3.5
Houston,1-0-0,100.0%,0.0,+7.0
LA Chargers,2-0-0,100.0%,1.0,+1.3
Atlanta,1-0-0,100.0%,-1.0,+4.5
Seattle,1-0-0,100.0%,1.0,+7.0
Kansas City,1-1-0,50.0%,13.0,+8.0
Philadelphia,0-1-0,0.0%,3.0,-3.0
Tennessee,0-1-0,0.0%,-1.0,-6.5
Arizona,0-1-0,0.0%,-23.0,-17.0
NY Jets,0-1-0,0.0%,-15.0,-8.5
Dallas,0-1-0,0.0%,-16.0,-13.5
Cincinnati,0-1-0,0.0%,-3.0,-10.0
Green Bay,0-1-0,0.0%,-16.0,-14.0
New Orleans,0-1-0,0.0%,1.0,-4.5
Jacksonville,0-1-0,0.0%,-6.0,-3.0
Denver,0-1-0,0.0%,-1.0,-7.0
Las Vegas,0-1-0,0.0%,-5.0,-1.5
San Francisco,0-1-0,0.0%,-9.0,-15.5
LA Rams,0-1-0,0.0%,-21.0,-19.0
Indianapolis,0-1-0,0.0%,0.0,-7.0
New England,0-1-0,0.0%,-13.0,-10.0
Carolina,0-1-0,0.0%,-2.0,-3.5
